城市,区域,店名,地址,电话,类型,评分,营业时间,品牌,经纬度,ID
佛山,南海区,共时咖啡,南新四路15号(桂城地铁站B口步行420米),13688852415,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.144857,23.030160",B0IR3HKP9G
佛山,南海区,凯茵斯·咖啡轻西厨(南海悦汇广场店),南海大道北81号悦汇广场·南海A区F1层,18927797608,餐饮服务;咖啡厅;咖啡厅,4.7,,,"113.141583,23.030225",B0HD1H45VK
佛山,南海区,初见Cafe&Bar(十六街区店),桂花园西区东2门南70米,13202403229,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.146149,23.030019",B0IDLAUGKP
佛山,南海区,十二手作创客咖啡(南海科技服务业集聚区店),天佑三路与南桂东路交叉口南120米,13431644315,餐饮服务;咖啡厅;咖啡厅,3.7,,,"113.139740,23.030809",B0JRPKLIVA
佛山,南海区,华盛咖啡(南海大道中店),祖庙街道镇安星一队新村十四街18号,13711635102,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.144025,23.017910",B0FFJK3FPC
佛山,南海区,合理咖啡,海四路银菊大厦5号商铺,13106675764,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.140880,23.051224",B0J3L5C0JL
佛山,南海区,咫尺咖啡,桂城街道灯湖西路韩江茶馆旁,13630005934,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.144863,23.048950",B0JDKU90CG
佛山,南海区,哩乐咖啡馆/LILECOFFEE(暂停营业),桂城街道夏北兴华上街70号,13516620186;18507632181,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.159842,23.060200",B0HK1UC9A5
佛山,南海区,喵子家.CAT.cafe,桂城街道南新四路10号,[],餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.145927,23.030071",B0K2X77P6L
佛山,南海区,嘉兰围咖啡饼店(千灯湖致力越优城),桂城街道歧健南路3号致越优城广场B栋105铺,13336483697,餐饮服务;咖啡厅;咖啡厅,4.6,,,"113.143956,23.048926",B0HDGAMGQT
佛山,南海区,回岛咖啡(九江双蒸博物馆店),九江酒厂忆吧乐活街,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.026465,22.811909",B0JK7RTKUS
佛山,南海区,回见咖啡,桂城街道平洲桂平东路11号,18928602425,餐饮服务;咖啡厅;咖啡厅,4.6,,,"113.201177,23.029948",B0HANDLZH4
佛山,南海区,太平洋咖啡(灯湖华府店),南海大道北8号中建广场V+MALLF1层,0757-85511672,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.140673,23.062085",B0GDL6FQJX
佛山,南海区,奕焯咖啡(佛山民间金融街A12座店),佛山民间金融街A12座116铺,18934343700,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.162841,23.047796",B0KGGC7GUF
佛山,南海区,奥斯卡咖啡OSCAR COFFEE(西樵总店),官山城区建设一巷39号首层,13434897946,餐饮服务;咖啡厅;咖啡厅,4.3,,,"112.983980,22.943637",B0IAOZZMYH
佛山,南海区,好运咖啡(南湖路店),南湖路30号,[],餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.192150,23.107972",B0J19AWORQ
佛山,南海区,宝藏绿洲(南海万科店),桂澜中路23号金域国际花园1座楼1020号铺,18042853997,餐饮服务;餐饮相关场所;餐饮相关,4.2,,,"113.153885,23.035847",B0KUTC3LUF
佛山,南海区,山桃咖啡,狮山镇南国桃园桃园中路9号,18680024497,餐饮服务;餐饮相关场所;餐饮相关,4.4,,,"113.098633,23.181531",B0K2FHCXY8
佛山,南海区,屿丘咖啡,桂城街道西约岐健1号之9号,17322705354,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.144713,23.047927",B0IR7U89NL
佛山,南海区,屿山咖啡工作室,九江镇大正路与岳湾路交叉口大正南路16号屿山咖啡工作室,19128520400,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.016747,22.835148",B0I3PAFCDU
佛山,南海区,巷子咖啡(九江店),九江镇潭涌口开发区58号首层102号,0757-81762239,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.008215,22.832328",B0FFIQXVGO
佛山,南海区,库迪咖啡(万科尚都荟美宜佳店),桂澜南路18号万科尚都荟1座1层105铺美宜佳内,13078138825,餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.155562,23.013643",B0L6G55V31
佛山,南海区,库迪咖啡(中海金沙里南门美宜佳店),工业大道中海金沙里5座127号铺美宜佳店内(南门处),15818056589,餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.205838,23.180172",B0L6GC6Q21
佛山,南海区,库迪咖啡(丹灶沙边店),丹灶联沙社区联沙大道40号自编6号大参林隔壁,17304071655,餐饮服务;咖啡厅;咖啡厅,4.2,,,"112.922443,23.108695",B0KR6AD25W
佛山,南海区,库迪咖啡(伟业兴隆广场店),大沥镇振兴路13号伟业华誉豪庭13栋外广场104号,18038843292,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.119030,23.106102",B0JUJMF6NR
佛山,南海区,库迪咖啡(佛山万民百货里水店),市场北路与红旗二横路交叉口南120米万民百货(1层电梯处),18144917473,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.156755,23.196954",B0JRC52POW
佛山,南海区,库迪咖啡(佛山华鸿广场店),岭南路77号华鸿广场1层大堂,13927799937,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.143523,23.110683",B0J1MU0098
佛山,南海区,库迪咖啡(佛山南海富力广场店),海五路南海富力广场1层137A铺,17725928910,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.150401,23.053831",B0JDHZYI9N
佛山,南海区,库迪咖啡(佛山南海里水嘉洲广场店),里水镇里水嘉洲广场第一层L1-JZ-011号商铺,19103032466,餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.147451,23.170473",B0L6YCO0A1
佛山,南海区,库迪咖啡(佛山嘉邦国金中心1座店),石龙南路1号嘉邦国金中心1座112铺(711便利店东侧),16603066252,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.186370,23.031803",B0JUBUGQZK
佛山,南海区,库迪咖啡(佛山天安数码城店),简平路1号天安数码城5期A栋102-2号铺(A座东侧),13288433171,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.166660,23.019202",B0KGMCTLBI
佛山,南海区,库迪咖啡(千灯湖环宇城店),桂澜中路18号中海寰宇天下花园16座1层149商铺,18126674073,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.156590,23.043042",B0KRNHFAX4
佛山,南海区,库迪咖啡(南海万科广场店),南海万科广场南街S5-115号铺(华为手机体验店旁),18924546883,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.154662,23.035811",B0J2VZ3SWA
佛山,南海区,库迪咖啡(南海万达金街店),万达广场南海金街103号铺(5号门对面),18022706467,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.157910,23.064089",B0J6HCFDQ7
佛山,南海区,库迪咖啡(南海佰德广场店),盐步穗盐西路43号佰德广场1层临K05号88铺(露天广场东侧),18038840492,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.172173,23.093584",B0J35UQJSJ
佛山,南海区,库迪咖啡(南海天安中心店),桂城季华东路31号天安中心3座107号商铺(711便利店西侧),13288443171,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.167637,23.013962",B0J27RB8C0
佛山,南海区,库迪咖啡(南海富弘广场店),沿江北路18号富弘广场一层北门正对面(游乐园大门旁),18029249210,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.045801,23.060207",B0L6ZU30CM
佛山,南海区,库迪咖啡(南海广佛智城店),大沥岭南路85号广佛智城沥园A01-A02,13454661483,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.144080,23.116946",B0J26CSNZ5
佛山,南海区,库迪咖啡(南海府前路店),狮山镇罗村街道府前路13号(罗村中心幼儿园对面),13924857720,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.054676,23.058291",B0JATSTLV9
佛山,南海区,库迪咖啡(南海悦汇广场店),南海大道北84号悦汇广场集装箱桂城地铁站A出口,13288253261,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.140921,23.031151",B0K16YVAPZ
佛山,南海区,库迪咖啡(叠滘站地铁口店),维也纳酒店(文化北路店)停车场内,18927739737,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.126722,23.048551",B0KRTRXRAG
佛山,南海区,库迪咖啡(大正港华楼店),大正路17号(赵一鸣零食店旁),17304047033,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.012843,22.840424",B0KGJA07QE
佛山,南海区,库迪咖啡(大沥万荟玖珑店),岭南路63号荟悦园商业1号商铺1-114,18002833688,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.144944,23.123605",B0K01D7S2I
佛山,南海区,库迪咖啡(大沥大润发店),大沥镇金贸大道2号南海新都会首层内商铺编号北临01号,17329891959,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.124200,23.110289",B0K0G73D2N
佛山,南海区,库迪咖啡(好好多生活广场店),好好多生活广场2座首层17号(麦当劳对面),13288336525,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.244447,23.026470",B0L6HY8ZM8
佛山,南海区,库迪咖啡(怡翠尊堤商业广场店),大沥镇奇景路1号怡翠尊堤尚园1座首层大堂超市门口,15718409680,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.138736,23.077655",B0K1V7J6R5
佛山,南海区,库迪咖啡(招商置地中心店),ipark商场2号门出口,18934365642,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.156637,23.061691",B0JRCL5Y93
佛山,南海区,库迪咖啡(桂城万达店),桂城南海大道北46号桂城万达广场1楼,13006767260,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.140946,23.042079",B0LG47F19L
佛山,南海区,库迪咖啡(汇翠珠宝广场店),桂城街道柏丽翡翠大道7-10号信汇广场B栋1层JP1-16号,15363830267,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.210294,23.023778",B0KARL7TR4
佛山,南海区,库迪咖啡(沙头东慧佳商业广场店),青平路11号慧品天汇·商业中心F1层8号(肯德基隔壁),18988632686,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.027019,22.911550",B0KGJNTLNC
佛山,南海区,库迪咖啡(石啃佰围商业中心店),桂城街道石肯教育路30号,17368210097,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.157518,23.008407",B0LUB9O8AZ
佛山,南海区,库迪咖啡(石啃奥骏商业广场店),石啃社区教育路1号奥骏商业广场1层(石啃社区委员会西南侧),18188737279,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.156226,23.008497",B0JRORUROP
佛山,南海区,库迪咖啡(西樵新城广场店),樵高路新城广场1F18铺(彪马服装店斜对面),18025998806,餐饮服务;咖啡厅;咖啡厅,4.2,,,"112.983622,22.948599",B0JDJRWDDU
佛山,南海区,库迪咖啡(西樵纺织产业基地店),建新路30号润立丽苑12座156室,18934332545,餐饮服务;咖啡厅;咖啡厅,4.2,,,"112.907905,22.962688",B0L6SC5I0V
佛山,南海区,库迪咖啡(金沙洲万达广场店),星港国际广场B座1层1031号(万达广场2号门出口西北侧),13360045441,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.196037,23.138377",B0J6GHKKXU
佛山,南海区,库迪咖啡(金铂万益广场店),大沥镇黄岐大道33号万益广场16栋首层109铺(金铂天地3号门对面),13543430981,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.200494,23.143735",B0J13HMIPQ
佛山,南海区,库迪咖啡(阳光在线广场店),阳光路阳光在线广场1层X区05铺(麦当劳东侧),13702657351,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.032301,23.143847",B0JUXHU9YH
佛山,南海区,库迪咖啡(黄岐嘉洲广场店),大沥镇黄歧广佛一路98号嘉洲广场一层W-122A铺(华为体验店对面),13060773138,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.189168,23.109233",B0JUJ7U0E1
佛山,南海区,延伸咖啡Extend coffee,大沥镇盐步龙涌三新村对面老龙公园(龙沙涌河边),13113785371,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.169549,23.090628",B0L6FHHKV6
佛山,南海区,急急脚咖啡饼铺(南海万科广场店),桂澜中路23号南海万科广场F1层,18123588745,餐饮服务;餐饮相关场所;餐饮相关,4.1,,,"113.154658,23.036909",B0KR4M1API
佛山,南海区,情绪零碎,桂城街道,[],体育休闲服务;娱乐场所;娱乐场所,3.7,,,"113.148074,23.031959",B0K23LP5BE
佛山,南海区,拉环咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.163945,23.013419",B0K3YS7LFF
佛山,南海区,拱桥咖啡,儒溪上儒大街与羔儒线交叉口西南460米,[],餐饮服务;咖啡厅;咖啡厅,4.4,,,"112.955845,22.903718",B0JU1XWO6M
佛山,南海区,拼涂咖啡puzzle coffee雅汇店,竹基南路与胜塘南大道交叉口东北180米,18688246494,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.120070,23.099532",B0JGLSCTJA
佛山,南海区,摆烂咖啡厅,平州玉器街天胜南街9号摆烂咖啡厅,13549988451,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.211139,23.021448",B0JDO7ARFV
佛山,南海区,无恙咖啡,桂城南新五路19号(近近桂城中心小学),13077487560;18826480989,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.138452,23.034473",B02F50W9UJ
佛山,南海区,无范恼咖啡,石啃社区季华东路里冯坊50号,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.160415,23.012884",B0K06A0IX2
佛山,南海区,日出咖啡,桂城街道西约翰林村159号,15015677294,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.144271,23.039753",B0KAVNBT2Y
佛山,南海区,日出咖啡Sunrise Coffee,桂城街道石肯二村大冲口坊91号,17666060757,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.164874,23.008160",B0JUR7BUMF
佛山,南海区,旧屋·咖啡铺,南海区石(石肯)四村黄洞坊八巷1号,13534589624,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.151936,23.008014",B0KG9S4L89
佛山,南海区,早作日咖啡Early Cafe(周六店休),大树里一巷4号,18183177614,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.135383,23.100985",B0JGTAQ1A5
佛山,南海区,早朝Cafe小食铺(桂花园店),桂城街道天佑五路18号,18820853110,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.146202,23.031537",B0KUDZ9AEO
佛山,南海区,早羽咖啡(万科尚都荟店),桂业北路与石肯桂业路交叉口西南140米,[],餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.156232,23.014053",B0K2AUR6QO
佛山,南海区,早羽咖啡(九江店),九江镇大正路北22号洛浦园西北门对面宏盛公寓首层101铺,17328064550,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.009939,22.843481",B0I1OM9ZFX
佛山,南海区,早羽咖啡(创想公社店),桂城街道佛平四路33号万科壹荟大厦商业1座1层101室之一号,[],餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.175111,23.036007",B0K2AU12O0
佛山,南海区,早羽咖啡(广佛电商城店),桂城街道南四路百纳大厦1座103-104,18028141667,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.142035,23.039263",B0JGD9PAPD
佛山,南海区,早羽咖啡(怡海港店),桂城街道简平路7号南舜怡海港1座1层自编ZTL167,18689268837,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.167394,23.023394",B0I1RH3X4B
佛山,南海区,早羽咖啡(悦汇广场店),桂城南海悦汇广场A区东广场A09,17328059234;18718732373,餐饮服务;餐饮相关场所;餐饮相关,4.3,,,"113.141619,23.030589",B0LG66BG3A
佛山,南海区,早羽咖啡(桂城万科·金色城市店),南一路80号,17725616715,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.136342,23.069738",B0IRSB9QB7
佛山,南海区,早羽咖啡(泌冲店),黄岐大沙村南约市场大街2号首层(住改商),18316579994,餐饮服务;咖啡厅;咖啡厅,4.5,,,"113.177131,23.152246",B0KDOYM82E
佛山,南海区,早羽咖啡(石啃店),桂城街道半岛路17号万科·金域蓝湾二期12座112铺,13128685841,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.162875,23.008175",B0KRPPLP16
佛山,南海区,早羽咖啡(西樵店),石窦涌陆家村西侧90米,13516532438,餐饮服务;咖啡厅;咖啡厅,4.4,,,"112.985979,22.948447",B0J22COQF4
佛山,南海区,早羽咖啡(金域中央店),桂城街道海八东路2号金域名都3座107铺,13143583327,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.174661,23.065733",B0KR4Z5KRR
佛山,南海区,早羽咖啡(金沙店),上林一品商业广场38号铺早羽咖啡金沙店,13925460373,餐饮服务;咖啡厅;咖啡厅,4.4,,,"112.962199,23.055860",B0JGO9XKCX
佛山,南海区,早羽咖啡(金色领域店),佛平三路1号金色领域7座(礌岗地铁站D口步行290米),15767988327,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.159126,23.040993",B0K6JKPENX
佛山,南海区,早羽咖啡(黄岐泊寓店),大沥镇黄岐岐西新村东大街41号2号楼108铺,13790087701,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.189710,23.118253",B0LAK6ED0Y
佛山,南海区,星巴克(佛山A32万科里店),桂城街道海八东路18号金色悦享大厦1层01-02号,0757-66638578,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"113.163268,23.066257",B0IBUULSJE
佛山,南海区,星巴克(佛山万科金域店),永胜东路4号万科金域花园1区24座24-101-3铺,0757-66820998,餐饮服务;咖啡厅;星巴克咖啡,4.4,,,"113.172165,23.063246",B0FFK825MF
佛山,南海区,星巴克(佛山中海环宇城店),桂澜中路18号环宇城地上层L123铺,0757-81236030,餐饮服务;咖啡厅;星巴克咖啡,4.6,,,"113.156237,23.043615",B0FFH4Y7OJ
佛山,南海区,星巴克(佛山九江信基广场店),九江镇大正路北2号信基广场第一层1074-1077号铺,0757-86516292,餐饮服务;咖啡厅;星巴克咖啡,4.6,,星巴克,"113.014196,22.841254",B0FFLFCJ5V
佛山,南海区,星巴克(佛山保利天际店),桂城街道海五路19号(千灯湖地铁站C口步行400米),0757-66632168,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"113.151058,23.055745",B0JG3HXYZO
佛山,南海区,星巴克(佛山南海万科店),桂城桂澜路万科广场首层,0757-86082187,餐饮服务;咖啡厅;星巴克咖啡,4.6,,星巴克,"113.154705,23.036253",B0FFG0ZBZU
佛山,南海区,星巴克(佛山南海万达广场店),永胜西路与桂澜北路交叉口东北100米,[],餐饮服务;咖啡厅;星巴克咖啡,3.4,,星巴克,"113.156251,23.062935",B0LUNY383K
佛山,南海区,星巴克(佛山南海印象汇店),桂城街道南海大道北75号印象汇(凯德)广场首层01-31/31A/32/33/33A单元,0757-86337289;4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"113.140674,23.032561",B02F50732K
佛山,南海区,星巴克(佛山南海桂平西路店),桂城桂平西路2号鹿璟村1号6号楼1层,0757-86235581,餐饮服务;咖啡厅;星巴克咖啡,4.4,,星巴克,"113.156557,23.032502",B0FFFOP1PE
佛山,南海区,星巴克(佛山南海金铂中心店),桂业路88号金铂中心F1层,[],餐饮服务;咖啡厅;咖啡厅,4.3,,星巴克,"113.156498,23.011300",B0KRMO6WP1
佛山,南海区,星巴克(佛山友邦金融中心店),灯湖东路1号友邦金融中心二座首层C单元,0757-86237279,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"113.150859,23.063052",B0FFI7YDNY
佛山,南海区,星巴克(佛山和信广场店),狮山镇博爱中路61号和信广场首层,0757-81166208,餐饮服务;咖啡厅;星巴克咖啡,4.6,,星巴克,"113.005189,23.120790",B0FFGLJL0B
佛山,南海区,星巴克(佛山大学城店),狮山镇狮山科技软件园(生活一区一号餐厅),0757-66614988;4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"113.031002,23.144575",B0H0UHL5XX
佛山,南海区,星巴克(佛山山海名门店),里广路2号山海汇花园11号楼地上一层101室及二层201室,0757-81430076,餐饮服务;咖啡厅;星巴克咖啡,4.5,,,"113.206673,23.174023",B0FFHF39U1
佛山,南海区,星巴克(佛山市凯德Mall分店),大沥镇广佛公路大转弯路段超级180文娱综合体首层L01-18-21号,0757-66820708,餐饮服务;咖啡厅;星巴克咖啡,4.6,,星巴克,"113.182455,23.104664",B0FFIR5GP9
佛山,南海区,星巴克(佛山怡海港店),简平路7号南舜广场(怡海港)3栋首层,0757-66826658,餐饮服务;咖啡厅;星巴克咖啡,4.5,,,"113.167870,23.023184",B0FFKNWN8I
佛山,南海区,星巴克(佛山招商IPARK分店),桂城街道桂澜北路26号依云置地中心101-1号铺,0757-86253551,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"113.156045,23.063037",B0FFFEXT0K
佛山,南海区,星巴克(佛山映月湖环宇城店),桂城街道石龙南路6号南海环宇城一楼L104商铺,0757-66616218;4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.6,,,"113.187673,23.033566",B0JUGSBEPD
佛山,南海区,星巴克(佛山桂城万达广场店),南海大道46号万达广场1F-43单元,0757-86237761,餐饮服务;咖啡厅;星巴克咖啡,4.2,,星巴克,"113.141326,23.042066",B0FFFFA3KD
佛山,南海区,星巴克(佛山永润广场店),里水镇里广路50号永润广场第一层2-1024号商铺,0757-66639588,餐饮服务;咖啡厅;星巴克咖啡,4.1,,星巴克,"113.195341,23.184490",B0FFLFCQLP
佛山,南海区,星巴克(佛山海六路中建领秀店),南海大道北8号中建领秀广场1座首层112-,0757-86326506,餐饮服务;咖啡厅;星巴克咖啡,4.6,,,"113.141836,23.058530",B0FFI7YOR0
佛山,南海区,星巴克(佛山狮山长华汇店),狮山镇科技北路1号长华国际中心商业一楼,0757-66639168;4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.6,,星巴克,"112.999901,23.116844",B0I2PCJPUL
佛山,南海区,星巴克(佛山罗村金盛广场店),府前路金盛广场一层141-142号,0757-66825968,餐饮服务;咖啡厅;星巴克咖啡,4.6,,,"113.053282,23.057400",B0FFJU0FZL
佛山,南海区,星巴克(佛山西樵富盛广场店),西樵镇江浦路18号富盛广场首层A1213单元,0757-66868066,餐饮服务;咖啡厅;星巴克咖啡,4.6,,,"112.985997,22.940903",B0FFHE8SLM
佛山,南海区,星巴克(佛山越秀悦汇天地店),南海大道北84号越秀星汇云锦广场B区1层101单元,0757-81236198,餐饮服务;咖啡厅;星巴克咖啡,4.4,,星巴克,"113.142212,23.031243",B0FFH2JUI7
佛山,南海区,星巴克(佛山里水嘉洲广场店),里水镇里水大道中76号1A-131,0757-66633758;4008206998,餐饮服务;咖啡厅;星巴克咖啡|购物服务;体育用品店;体育用品店,4.5,,星巴克,"113.147731,23.170852",B0IKPR0QAM
佛山,南海区,星巴克(佛山金地珑悦店)(暂停营业),季华七路金地珑悦首层,0757-66856515,餐饮服务;咖啡厅;星巴克咖啡,4.0,,星巴克,"113.149820,23.011931",B0FFJOAZTN
佛山,南海区,星巴克(佛山顺联公园里店),桂城街道季华东路27号顺联公园里8座首层8-101铺,0757-66616158,医疗保健服务;医疗保健服务场所;医疗保健服务场所,4.6,,星巴克,"113.165389,23.013539",B0HDRKR542
佛山,南海区,星巴克(佛山黄岐金铂天地店),大沥镇广佛路121号黄岐金铂天地首层121号铺位,0757-66638858,餐饮服务;咖啡厅;星巴克咖啡,4.5,,,"113.188542,23.109720",B0HA3R35RV
佛山,南海区,星巴克(商业大道店),丹灶镇商业大道16号一楼佛山丹灶镇商业大道店,13288376614,餐饮服务;咖啡厅;咖啡厅,4.6,,星巴克,"112.919808,23.039265",B0J2HUNSZC
佛山,南海区,星巴克(琛宝来广场店),平洲玉器珠宝小镇柏丽翡翠大道11号佛山琛宝来广场店,4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.4,,星巴克,"113.211775,23.023425",B0J1NOKUBE
佛山,南海区,星巴克咖啡(佛山佛罗伦萨小镇店),疏港路28号佛罗伦萨小镇购物中心1期2层G25号,0757-81251429,餐饮服务;咖啡厅;星巴克咖啡,4.7,,,"113.227896,23.005783",B0FFGEFN66
佛山,南海区,星巴克咖啡(佛山南海万达店),桂城街道桂澜北路28号万达广场1层,0757-85133351,餐饮服务;咖啡厅;星巴克咖啡,4.2,,,"113.158408,23.063073",B0FFLQ7XJZ
佛山,南海区,星巴克咖啡(佛山南海人民医院店),桂丹路120号,0757-66613618,餐饮服务;咖啡厅;星巴克咖啡,4.0,,星巴克,"112.998216,23.083198",B0J2RXUQAF
佛山,南海区,星巴克咖啡(佛山南海新都会店),大沥镇金贸大道2号南海新都会首层31A 32B 33号,0757-66821088,餐饮服务;咖啡厅;星巴克咖啡,4.5,,,"113.124243,23.110052",B0FFK2XV8S
佛山,南海区,星巴克咖啡(佛山大沥永旺梦乐城店),滘口路13号永旺梦乐城购物中心1层174单元,0757-81788281,餐饮服务;咖啡厅;星巴克咖啡,4.7,,,"113.144175,23.114325",B0FFK40WPC
佛山,南海区,星巴克咖啡(佛山里水比高中心店),里水镇沙涌村里水大道南90号之二号佛山里水比高中心店,4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.2,,星巴克,"113.163117,23.144510",B0J26SLDE2
佛山,南海区,星巴克咖啡(佛山金沙洲万达店),大沥镇建设大道南地段金沙洲万达广场室内步行街第一层1001号铺,0757-85929560,餐饮服务;咖啡厅;星巴克咖啡,4.4,,,"113.196857,23.140644",B0FFI499MK
佛山,南海区,星巴克咖啡(佛山金沙洲金铂店),大沥镇建设大道金铂天地L163铺,0757-66622858;4008206998,餐饮服务;咖啡厅;星巴克咖啡,4.2,,,"113.200083,23.142379",B0GR2AAEJC
佛山,南海区,星巴克咖啡(南海三山好好多广场店),南海三山好好多广场,[],餐饮服务;咖啡厅;咖啡厅,2.6,,星巴克,"113.244233,23.026258",B0LDMUELO6
佛山,南海区,星巴克咖啡(樵盈·星元汇start店),樵金中路雅居乐大都会广场,0757-66615258,餐饮服务;咖啡厅;星巴克咖啡,4.5,,星巴克,"112.981817,22.952119",B0JKBOLIL0
佛山,南海区,星巴克臻选(佛山保利水城店),桂城灯湖西路20号保利商业水城1层1A008A单元,0757-86311832,餐饮服务;咖啡厅;星巴克咖啡,4.8,,,"113.148488,23.059511",B02F50YJLP
佛山,南海区,村口咖啡(九江上北),九江镇上北新龙孖垫,13168577284,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.000492,22.856555",B0JK4UJV3W
佛山,南海区,梵思咖啡Fans coffee,桂城街道桂花园东区西门15座103铺,18588000322,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.146396,23.030981",B0IGYUINJQ
佛山,南海区,植觉咖啡,桂城平胜西龙湿地公园侧,13928260845,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.172114,22.998679",B0IKVAEXV3
佛山,南海区,榕巷二号咖啡店,桂城街道平东丽柏翡翠大道11号琛宝来广场琛悦汇B03榕二咖啡店,13660517372,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.211814,23.024007",B0I1AMAGM1
佛山,南海区,榴莲嘟嘟(佛山金铂中心店),桂业路88号金铂中心B2层,[],餐饮服务;冷饮店;冷饮店,3.9,,,"113.156260,23.011295",B0KRJLG2RT
佛山,南海区,樂点咖啡(雅居乐·雍景豪园店),雍景豪园帝景台31-32座22号(湖边商铺),18144779556,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.197867,23.094409",B0HBL5A9M3
佛山,南海区,樱桃咖啡(西樵中海店),西樵镇锦湖大道16号中海山湖世家15座109商铺,15338332729,餐饮服务;咖啡厅;咖啡厅,4.0,,,"112.955200,22.934034",B0K3JH9IPC
